0|count
g1.globo.com|171
www.uol.com.br|50
www.cnnbrasil.com.br|41
economia.uol.com.br|38
www.techtudo.com.br|30
www.terra.com.br|26
www.estadao.com.br|24
canaltech.com.br|23
www.tecmundo.com.br|21
olhardigital.com.br|21
noticias.uol.com.br|21
www.em.com.br|19
